Network,Address,Contract Name,Method,Role,Wallet,Identity
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,transferToCustody,COLLATERAL_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,forceTransferToCustody,COLLATERAL_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setAegisRewardsAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setAegisConfigAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setInsuranceFundAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setFeedRegistryAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setAegisOracleAddress,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setCrossChainOperator,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setIncomeFeeBP,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setMintPaused,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setRedeemPaused,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setCrossChainPaused,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setMintFeeBP,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setRedeemFeeBP,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setMintLimits,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setRedeemLimits,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setPreCollateralizedMintLimits,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setChainlinkAssetHeartbeat,SETTINGS_MANAGER_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,addSupportedAsset,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,removeSupportedAsset,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,addCustodianAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,removeCustodianAddress,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,freezeFunds,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,unfreezeFunds,FUNDS_MANAGER_ROLE,0x32Bd61608702AA0dCc7C205404B05CEa2221b3ce 0x0b241d2f1a060feae6968f7ced3221d4ab29d865,Alex Maslennikov
Ethereum,0xBB0F32D176590faEdC7bc552b7EAD7A86809b520,AegisMintingJUSD,setPreCollateralizedMinter,DEFAULT_ADMIN_ROLE,0x4Fe78eF65BD8EDDED480efaB030BA680646503c8,Multisig
